cancer,model,repeat,test_c_index
BRCA,RCoxNet,9,0.775
BRCA,RCoxNet,10,0.7477
BRCA,RCoxNet,11,0.7878
BRCA,RCoxNet,12,0.852
BRCA,RCoxNet,13,0.8326
BRCA,RCoxNet,14,0.8263
BRCA,RCoxNet,15,0.7481
BRCA,RCoxNet,16,0.8914
BRCA,RCoxNet,17,0.7738
BRCA,RCoxNet,18,0.7701
BRCA,RCoxNet,19,0.7366
BRCA,RCoxNet,20,0.8274
